tipo_de_api,tip_execucao,qtd_itens,tamanho_query,tempo_de_resposta,tamanho_body_resposta
graphql,sequencial,80,238,0.739576,32
graphql,sequencial,100,239,0.745476,32
rest,paralelo,20,24,1.126891,103493
rest,paralelo,40,24,1.694176,207283
rest,paralelo,60,24,2.034886,310012
rest,paralelo,80,24,2.853963,412320
rest,paralelo,100,25,4.218706,514141
rest,paralelo,20,44,1.226897,102666
rest,paralelo,40,44,1.606749,205828
rest,paralelo,60,44,1.956796,306105
rest,paralelo,80,44,2.668604,407735
rest,paralelo,100,45,3.246589,508819
rest,paralelo,20,55,1.229019,102666
rest,paralelo,40,55,3.373756,205828
rest,paralelo,60,55,3.286359,306105
rest,paralelo,80,55,2.506155,407735
rest,paralelo,100,56,2.972108,508819
rest,paralelo,20,64,1.149955,102666
rest,paralelo,40,64,1.768629,205828
rest,paralelo,60,64,2.090883,306105
rest,paralelo,80,64,2.28854,407735
rest,paralelo,100,65,3.597088,508819
graphql,paralelo,20,198,1.08379,2827
graphql,paralelo,40,198,1.467362,5675
graphql,paralelo,60,198,1.726103,8457
graphql,paralelo,80,198,1.876313,11069
graphql,paralelo,100,199,2.367994,13903
graphql,paralelo,20,218,0.773171,32
graphql,paralelo,40,218,0.618381,32
graphql,paralelo,60,218,0.710533,32
graphql,paralelo,80,218,0.744925,32
graphql,paralelo,100,219,0.694752,32
graphql,paralelo,20,229,0.58731,32
graphql,paralelo,40,229,0.57148,32
graphql,paralelo,60,229,0.734771,32
graphql,paralelo,80,229,0.595266,32
graphql,paralelo,100,230,0.545293,32
graphql,paralelo,20,238,0.545041,32
graphql,paralelo,40,238,0.778422,32
graphql,paralelo,60,238,0.576089,32
graphql,paralelo,80,238,0.547164,32
graphql,paralelo,100,239,0.754116,32
rest,sequencial,20,24,1.146263,103493
rest,sequencial,40,24,1.706508,207283
rest,sequencial,60,24,2.488193,310012
rest,sequencial,80,24,2.576306,409725
rest,sequencial,100,25,3.063175,514141
rest,sequencial,20,44,1.249747,102666
rest,sequencial,40,44,1.707189,205828
rest,sequencial,60,44,1.90175,306105
rest,sequencial,80,44,2.339513,407735
rest,sequencial,100,45,2.580813,508819
rest,sequencial,20,55,1.397427,102666
rest,sequencial,40,55,1.7899,205828
rest,sequencial,60,55,2.102047,306105
rest,sequencial,80,55,2.205879,407735
rest,sequencial,100,56,2.841915,508819
rest,sequencial,20,64,1.180579,102666
rest,sequencial,40,64,1.687078,205828
rest,sequencial,60,64,1.789001,306105
rest,sequencial,80,64,2.996623,407735
rest,sequencial,100,65,2.62506,508819
graphql,sequencial,20,198,0.882298,2827
graphql,sequencial,40,198,1.064869,5675
graphql,sequencial,60,198,1.605879,8457
graphql,sequencial,80,198,1.748433,11069
graphql,sequencial,100,199,1.749451,13903
graphql,sequencial,20,218,0.552289,32
graphql,sequencial,40,218,0.579934,32
graphql,sequencial,60,218,0.595963,32
graphql,sequencial,80,218,0.820639,32
graphql,sequencial,100,219,0.532963,32
graphql,sequencial,20,229,0.54804,32
graphql,sequencial,40,229,0.518934,32
graphql,sequencial,60,229,0.536385,32
graphql,sequencial,80,229,0.597745,32
graphql,sequencial,100,230,0.582378,32
graphql,sequencial,20,238,0.564127,32
graphql,sequencial,40,238,0.589648,32
graphql,sequencial,60,238,0.531432,32
graphql,sequencial,80,238,0.574043,32
graphql,sequencial,100,239,0.799675,32
rest,paralelo,20,24,1.155721,103493
rest,paralelo,40,24,1.365841,207283
rest,paralelo,60,24,1.794004,310012
rest,paralelo,80,24,2.162078,409725
rest,paralelo,100,25,3.039054,514141
rest,paralelo,20,44,1.047607,102666
rest,paralelo,40,44,1.516329,205828
rest,paralelo,60,44,1.818827,306105
rest,paralelo,80,44,2.307773,407735
rest,paralelo,100,45,2.762528,508819
rest,paralelo,20,55,1.121943,102666
rest,paralelo,40,55,1.700696,205828
rest,paralelo,60,55,1.860045,306105
rest,paralelo,80,55,2.516877,407735
rest,paralelo,100,56,2.741385,508819
rest,paralelo,20,64,1.04949,102666
rest,paralelo,40,64,1.436857,205828
rest,paralelo,60,64,1.919098,306105
rest,paralelo,80,64,2.411943,407735
rest,paralelo,100,65,2.957438,508819
graphql,paralelo,20,198,0.963292,2827
graphql,paralelo,40,198,1.378881,5675
graphql,paralelo,60,198,1.317104,8457
graphql,paralelo,80,198,1.55506,11069
graphql,paralelo,100,199,1.871841,13903
graphql,paralelo,20,218,0.602001,32
graphql,paralelo,40,218,0.574025,32
graphql,paralelo,60,218,0.571519,32
graphql,paralelo,80,218,0.600512,32
graphql,paralelo,100,219,0.542743,32
graphql,paralelo,20,229,0.578261,32
graphql,paralelo,40,229,0.56446,32
graphql,paralelo,60,229,0.570013,32
graphql,paralelo,80,229,0.722901,32
graphql,paralelo,100,230,0.53862,32
graphql,paralelo,20,238,0.655464,32
graphql,paralelo,40,238,0.65897,32
graphql,paralelo,60,238,0.555268,32
graphql,paralelo,80,238,0.588135,32
graphql,paralelo,100,239,0.543166,32
rest,sequencial,20,24,1.096635,103493
rest,sequencial,40,24,1.665529,207283
rest,sequencial,60,24,1.876031,310012
rest,sequencial,80,24,2.562386,409725
rest,sequencial,100,25,2.691122,514141
rest,sequencial,20,44,1.136504,102666
rest,sequencial,40,44,1.629861,205828
rest,sequencial,60,44,2.056294,306105
rest,sequencial,80,44,2.234366,407735
rest,sequencial,100,45,2.795898,508819
rest,sequencial,20,55,1.496049,102666
rest,sequencial,40,55,1.632288,205828
rest,sequencial,60,55,2.810048,306105
rest,sequencial,80,55,2.644033,407735
rest,sequencial,100,56,2.591729,508819
rest,sequencial,20,64,1.084501,102666
rest,sequencial,40,64,1.464869,205828
rest,sequencial,60,64,1.866418,306105
rest,sequencial,80,64,2.224433,407735
rest,sequencial,100,65,2.661252,508819
graphql,sequencial,20,198,0.840448,2827
graphql,sequencial,40,198,1.795687,5675
graphql,sequencial,60,198,1.290468,8457
graphql,sequencial,80,198,1.557753,11069
graphql,sequencial,100,199,1.946326,13903
graphql,sequencial,20,218,0.551975,32
graphql,sequencial,40,218,1.049227,32
graphql,sequencial,60,218,0.581865,32
graphql,sequencial,80,218,0.853741,32
graphql,sequencial,100,219,0.594351,32
graphql,sequencial,20,229,0.661554,32
graphql,sequencial,40,229,0.628011,32
graphql,sequencial,60,229,0.663608,32
graphql,sequencial,80,229,0.540315,32
graphql,sequencial,100,230,0.533926,32
graphql,sequencial,20,238,0.596644,32
graphql,sequencial,40,238,0.578778,32
graphql,sequencial,60,238,0.566969,32
graphql,sequencial,80,238,0.554931,32
graphql,sequencial,100,239,0.558404,32
rest,paralelo,20,24,0.998752,103493
rest,paralelo,40,24,1.687757,207283
rest,paralelo,60,24,2.099459,310012
rest,paralelo,80,24,2.620627,409725
rest,paralelo,100,25,2.71348,514141
rest,paralelo,20,44,1.064841,102666
rest,paralelo,40,44,1.407992,205828
rest,paralelo,60,44,2.018575,306105
rest,paralelo,80,44,2.601637,407735
rest,paralelo,100,45,2.798398,509216
rest,paralelo,20,55,0.992405,102666
rest,paralelo,40,55,1.385178,205828
rest,paralelo,60,55,1.938998,306105
rest,paralelo,80,55,3.071984,407735
rest,paralelo,100,56,3.055585,508819
rest,paralelo,20,64,1.140794,102666
rest,paralelo,40,64,1.622921,205828
rest,paralelo,60,64,1.953539,306105
rest,paralelo,80,64,2.449651,407735
rest,paralelo,100,65,2.869147,508819
graphql,paralelo,20,198,0.854361,2827
graphql,paralelo,40,198,1.08362,5675
graphql,paralelo,60,198,1.644724,8457
graphql,paralelo,80,198,1.47366,11069
graphql,paralelo,100,199,2.060704,13903
graphql,paralelo,20,218,0.528819,32
graphql,paralelo,40,218,0.531526,32
graphql,paralelo,60,218,0.598766,32
graphql,paralelo,80,218,0.528419,32
graphql,paralelo,100,219,0.546586,32
graphql,paralelo,20,229,0.550347,32
graphql,paralelo,40,229,0.575393,32
graphql,paralelo,60,229,0.617695,32
graphql,paralelo,80,229,0.591482,32
graphql,paralelo,100,230,0.677388,32
graphql,paralelo,20,238,0.583219,32
graphql,paralelo,40,238,0.604882,32
graphql,paralelo,60,238,0.548949,32
graphql,paralelo,80,238,0.557534,32
graphql,paralelo,100,239,0.548641,32
rest,sequencial,20,24,1.137913,103493
rest,sequencial,40,24,1.510887,207283
rest,sequencial,60,24,1.960552,310012
rest,sequencial,80,24,2.300411,409725
rest,sequencial,100,25,2.73555,514141
rest,sequencial,20,44,1.04126,102666
rest,sequencial,40,44,1.39219,205828
rest,sequencial,60,44,2.026627,306105
rest,sequencial,80,44,6.694649,407735
rest,sequencial,100,45,2.737949,508819
rest,sequencial,20,55,1.026968,102666
rest,sequencial,40,55,1.516192,205828
rest,sequencial,60,55,2.00149,306105
rest,sequencial,80,55,2.127,407735
rest,sequencial,100,56,3.269632,508819
rest,sequencial,20,64,1.08129,102666
rest,sequencial,40,64,1.531213,205828
rest,sequencial,60,64,1.712186,306105
rest,sequencial,80,64,2.352286,407735
rest,sequencial,100,65,3.232293,508819
graphql,sequencial,20,198,0.990417,2827
graphql,sequencial,40,198,1.235123,5675
graphql,sequencial,60,198,1.224678,8457
graphql,sequencial,80,198,1.603791,11069
graphql,sequencial,100,199,1.794198,13903
graphql,sequencial,20,218,0.62296,32
graphql,sequencial,40,218,0.599866,32
graphql,sequencial,60,218,0.801907,32
graphql,sequencial,80,218,0.524076,32
graphql,sequencial,100,219,0.559676,32
graphql,sequencial,20,229,0.585575,32
graphql,sequencial,40,229,0.596979,32
graphql,sequencial,60,229,0.800346,32
graphql,sequencial,80,229,0.747396,32
graphql,sequencial,100,230,0.74551,32
graphql,sequencial,20,238,0.705065,32
graphql,sequencial,40,238,0.888478,32
graphql,sequencial,60,238,0.53632,32
graphql,sequencial,80,238,0.743999,32
graphql,sequencial,100,239,0.577364,32
rest,paralelo,20,24,1.572428,103493
rest,paralelo,40,24,2.061807,207283
rest,paralelo,60,24,2.285552,310012
rest,paralelo,80,24,2.803865,409725
rest,paralelo,100,25,3.079046,514141
rest,paralelo,20,44,1.115589,102666
rest,paralelo,40,44,1.894334,205828
rest,paralelo,60,44,2.198563,306105
rest,paralelo,80,44,2.40878,407735
rest,paralelo,100,45,2.812724,508819
rest,paralelo,20,55,1.105323,102666
rest,paralelo,40,55,1.657971,205828
rest,paralelo,60,55,1.925479,306105
rest,paralelo,80,55,2.415444,407735
rest,paralelo,100,56,2.706334,508819
rest,paralelo,20,64,1.231431,102666
rest,paralelo,40,64,1.671417,205828
rest,paralelo,60,64,1.944685,306105
rest,paralelo,80,64,2.875884,407735
rest,paralelo,100,65,2.834207,508819
graphql,paralelo,20,198,1.027998,2827
graphql,paralelo,40,198,1.379546,5675
graphql,paralelo,60,198,1.866739,8457
graphql,paralelo,80,198,1.656206,11069
graphql,paralelo,100,199,1.878266,13903
graphql,paralelo,20,218,0.841846,32
graphql,paralelo,40,218,0.824726,32
graphql,paralelo,60,218,0.796656,32
graphql,paralelo,80,218,0.71778,32
graphql,paralelo,100,219,0.835328,32
graphql,paralelo,20,229,0.845547,32
graphql,paralelo,40,229,0.83849,32
graphql,paralelo,60,229,0.75108,32
graphql,paralelo,80,229,0.573453,32
graphql,paralelo,100,230,0.526448,32
graphql,paralelo,20,238,0.566578,32
graphql,paralelo,40,238,0.58043,32
graphql,paralelo,60,238,0.692841,32
graphql,paralelo,80,238,0.679594,32
graphql,paralelo,100,239,0.534849,32
rest,sequencial,20,24,1.08314,103493
rest,sequencial,40,24,1.709299,207283
rest,sequencial,60,24,2.118091,310012
rest,sequencial,80,24,3.11076,409725
rest,sequencial,100,25,2.642043,514141
rest,sequencial,20,44,1.390303,102666
rest,sequencial,40,44,1.738317,205828
rest,sequencial,60,44,2.37769,306105
rest,sequencial,80,44,2.628508,407735
rest,sequencial,100,45,3.012012,508819
rest,sequencial,20,55,1.116283,102666
rest,sequencial,40,55,1.702395,205828
rest,sequencial,60,55,2.579163,306105
rest,sequencial,80,55,2.915336,407735
rest,sequencial,100,56,3.081136,508819
rest,sequencial,20,64,1.064384,102666
rest,sequencial,40,64,1.650288,205828
rest,sequencial,60,64,1.927967,306105
rest,sequencial,80,64,2.378445,407735
rest,sequencial,100,65,2.769159,508819
graphql,sequencial,20,198,1.076177,2827
graphql,sequencial,40,198,1.076194,5675
graphql,sequencial,60,198,1.485312,8457
graphql,sequencial,80,198,1.852534,11069
graphql,sequencial,100,199,2.159548,13903
graphql,sequencial,20,218,0.557974,32
graphql,sequencial,40,218,0.60189,32
graphql,sequencial,60,218,0.535675,32
graphql,sequencial,80,218,0.698174,32
graphql,sequencial,100,219,0.583205,32
graphql,sequencial,20,229,0.568432,32
graphql,sequencial,40,229,0.597504,32
graphql,sequencial,60,229,0.581793,32
graphql,sequencial,80,229,0.534348,32
graphql,sequencial,100,230,0.724981,32
graphql,sequencial,20,238,0.572021,32
graphql,sequencial,40,238,0.752773,32
graphql,sequencial,60,238,0.51971,32
graphql,sequencial,80,238,0.577744,32
graphql,sequencial,100,239,0.602858,32
rest,paralelo,20,24,1.33284,103493
rest,paralelo,40,24,1.63271,207283
rest,paralelo,60,24,1.934009,310012
rest,paralelo,80,24,2.337546,409725
rest,paralelo,100,25,2.970473,514141
rest,paralelo,20,44,1.027591,102666
rest,paralelo,40,44,1.388495,205828
rest,paralelo,60,44,2.157609,306105
rest,paralelo,80,44,2.549932,407735
rest,paralelo,100,45,2.564705,508819
rest,paralelo,20,55,1.112022,102666
rest,paralelo,40,55,1.468147,205828
rest,paralelo,60,55,2.358418,306105
rest,paralelo,80,55,3.444149,407735
rest,paralelo,100,56,3.317333,508819
